date,weekday,category,detail,reason
2022-08-31,Wednesday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2022-10-05,Wednesday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2022-10-26,Wednesday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2022-11-08,Tuesday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2023-01-26,Thursday,FIXED_HOLIDAY,Republic Day,
2023-03-07,Tuesday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2023-03-30,Thursday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2023-04-04,Tuesday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2023-04-07,Friday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2023-04-14,Friday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2023-05-01,Monday,FIXED_HOLIDAY,Maharashtra Day,
2023-06-29,Thursday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2023-08-15,Tuesday,FIXED_HOLIDAY,Independence Day,
2023-09-19,Tuesday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2023-10-02,Monday,FIXED_HOLIDAY,Gandhi Jayanti,
2023-10-24,Tuesday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2023-11-14,Tuesday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2023-11-27,Monday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2023-12-25,Monday,FIXED_HOLIDAY,Christmas,
2024-01-22,Monday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2024-01-26,Friday,FIXED_HOLIDAY,Republic Day,
2024-03-08,Friday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2024-03-25,Monday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2024-03-29,Friday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2024-04-11,Thursday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2024-04-17,Wednesday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2024-05-01,Wednesday,FIXED_HOLIDAY,Maharashtra Day,
