date,weekday,category,detail,reason
2002-10-02,Wednesday,FIXED_HOLIDAY,Gandhi Jayanti,
2002-10-15,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2002-11-06,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2002-11-19,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2002-12-25,Wednesday,FIXED_HOLIDAY,Christmas,
2003-02-13,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2003-03-14,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2003-03-18,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2003-04-14,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2003-04-18,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2003-05-01,Thursday,FIXED_HOLIDAY,Maharashtra Day,
2003-08-15,Friday,FIXED_HOLIDAY,Independence Day,
2003-10-02,Thursday,FIXED_HOLIDAY,Gandhi Jayanti,
2003-11-26,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2003-12-25,Thursday,FIXED_HOLIDAY,Christmas,
2004-01-26,Monday,FIXED_HOLIDAY,Republic Day,
2004-02-02,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2004-03-02,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2004-04-09,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2004-04-14,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2004-04-26,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2004-10-13,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2004-10-22,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2004-11-15,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2004-11-26,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2005-01-21,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2005-01-26,Wednesday,FIXED_HOLIDAY,Republic Day,
2005-03-25,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2005-04-14,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2005-07-28,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2005-08-15,Monday,FIXED_HOLIDAY,Independence Day,
2005-09-07,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2005-10-12,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2005-11-03,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
