SYMBOL,SERIES,DATE,OPEN,HIGH,LOW,CLOSE,LAST,PREV_CLOSE,VOLUME,TURNOVER,TRADES,ISIN,DELIV_QTY,DELIV_PER,SOURCE
20MICRONS,EQ,2026-09-09,219.0,220.99,216.75,218.06,217.11,219.28,78133,17081000.0,2651,,35371.0,45.27,new
21STCENMGM,EQ,2026-09-09,38.98,39.34,38.31,38.8,38.8,38.59,1472,56999.99999999999,37,,806.0,54.76,new
360ONE,EQ,2026-09-09,1104.4,1109.2,1087.4,1087.4,1087.4,1110.0,869898,957181000.0,64089,,517487.0,59.49,new
3BBLACKBIO,EQ,2026-09-09,1490.0,1499.0,1448.1,1476.1,1471.0,1455.3,9173,13513000.0,1267,,4551.0,49.61,new
3IINFOLTD,BE,2026-09-09,22.32,22.58,22.1,22.5,22.49,22.32,150908,3393000.0,405,,,,new
3MINDIA,EQ,2026-09-09,33145.0,33145.0,32745.0,33025.0,33000.0,33145.0,1275,41969000.0,805,,549.0,43.06,new
3PLAND,EQ,2026-09-09,31.55,32.51,31.55,32.25,32.25,32.4,1886,61000.0,77,,1847.0,97.93,new
574GS2026,GS,2026-09-09,101.21,101.21,101.21,101.21,101.21,101.95,1,0.0,1,,1.0,100.0,new
5PAISA,EQ,2026-09-09,337.2,338.95,327.55,334.3,334.0,337.4,55842,18633000.0,1977,,22328.0,39.98,new
610GS2031,GS,2026-09-09,99.99,99.99,99.99,99.99,99.99,99.99,1,0.0,1,,1.0,100.0,new
620GS2029,GS,2026-09-09,100.0,100.0,100.0,100.0,100.0,99.0,800,80000.0,2,,800.0,100.0,new
633GS2035,GS,2026-09-09,101.0,101.0,99.0,99.0,99.0,99.3,3994,395000.0,3,,3994.0,100.0,new
636GS2031,GS,2026-09-09,99.5,99.5,99.0,99.0,99.5,99.5,793,79000.0,4,,793.0,100.0,new
63MOONS,EQ,2026-09-09,864.0,883.35,845.2,865.05,879.5,868.25,645891,559437000.0,23314,,283072.0,43.83,new
648GS2035,GS,2026-09-09,98.11,101.2,98.11,101.2,101.2,98.6,5601,560000.0,9,,5401.0,96.43,new
654GS2032,GS,2026-09-09,100.0,100.25,100.0,100.25,100.25,100.3,15001,1504000.0,2,,15001.0,100.0,new
667GS2050,GS,2026-09-09,92.6,92.6,92.6,92.6,92.6,92.6,1000,93000.0,2,,1000.0,100.0,new
668GS2040,GS,2026-09-09,98.0,98.0,97.98,97.98,97.98,97.7,2500,245000.00000000003,2,,2500.0,100.0,new
676GS2061,GS,2026-09-09,91.0,91.0,90.15,90.23,90.15,90.35,46636,4207000.0,118,,46635.0,100.0,new
679GS2031,GS,2026-09-09,101.0,101.0,101.0,101.0,101.0,100.5,500,51000.0,1,,500.0,100.0,new
679GS2034A,GS,2026-09-09,99.99,99.99,99.99,99.99,99.99,101.0,1,0.0,1,,1.0,100.0,new
690GS2065,GS,2026-09-09,93.49,93.49,93.35,93.39,93.4,93.25,2453,229000.0,6,,2453.0,100.0,new
692GS2039,GS,2026-09-09,99.01,99.01,99.01,99.01,99.01,99.29,400,40000.0,1,,400.0,100.0,new
694GS2036,GS,2026-09-09,102.21,103.08,102.21,103.08,103.08,103.1,211,22000.0,4,,200.0,94.79,new
695GS2061,GS,2026-09-09,94.0,94.0,93.0,93.89,93.89,93.89,5357,503000.0,9,,5345.0,99.78,new
697GR2034,GS,2026-09-09,98.0,98.0,98.0,98.0,98.0,101.25,10,1000.0,1,,10.0,100.0,new
698GR2054,GS,2026-09-09,94.5,94.5,94.5,94.5,94.5,94.5,50,5000.0,1,,50.0,100.0,new
699GS2051,GS,2026-09-09,96.0,96.4,96.0,96.3,96.3,96.75,2000,192000.0,3,,2000.0,100.0,new
704GS2029,GS,2026-09-09,101.97,102.5,101.19,101.19,101.19,103.0,6800,694000.0,6,,6800.0,100.0,new
706GS2028,GS,2026-09-09,103.6,103.6,103.6,103.6,103.6,104.31,100,10000.0,1,,100.0,100.0,new
706GS2041,GS,2026-09-09,101.75,101.75,100.1,100.2,100.2,100.15,589,59000.0,8,,460.0,78.1,new
706GS2046,GS,2026-09-09,100.7,101.0,100.0,101.0,101.0,100.8,10479,1053000.0,12,,10479.0,100.0,new
709GS2054,GS,2026-09-09,95.49,95.49,95.15,95.15,95.15,95.1,2886,275000.0,21,,2600.0,90.09,new
709GS2074,GS,2026-09-09,95.8,95.8,95.0,95.3,95.3,95.5,5613,535000.0,37,,4762.0,84.84,new
710GS2029,GS,2026-09-09,106.0,106.0,103.26,104.1,104.1,106.0,6101,634000.0,5,,5101.0,83.61,new
717GS2030,GS,2026-09-09,103.53,103.55,103.53,103.55,103.55,103.53,1974,204000.0,3,,1974.0,100.0,new
718GS2037,GS,2026-09-09,101.19,103.45,101.19,101.99,101.85,102.21,47545,4853000.0,50,,38077.0,80.09,new
723GS2039,GS,2026-09-09,104.58,104.58,104.58,104.58,104.58,104.58,200,21000.0,1,,200.0,100.0,new
724GS2055,GS,2026-09-09,97.18,97.18,96.52,96.74,96.74,96.65,39200,3795000.0000000005,54,,38712.0,98.76,new
725GS2063,GS,2026-09-09,96.6,97.6,96.26,96.85,96.85,96.98,110181,10672000.0,91,,105808.0,96.03,new
726GS2032,GS,2026-09-09,103.05,103.3,102.51,102.65,102.99,103.3,171960,17726000.0,22,,169960.0,98.84,new
726GS2033,GS,2026-09-09,103.3,103.3,102.8,103.2,103.2,103.35,5919,610000.0,6,,5919.0,100.0,new
733GS2026,GS,2026-09-09,101.29,102.31,101.29,102.31,102.31,102.31,300,31000.0,3,,200.0,66.67,new
734GS2064,GS,2026-09-09,99.25,99.25,98.61,98.76,98.78,98.91,24510,2424000.0,43,,23801.0,97.11,new
736GS2052,GS,2026-09-09,102.25,102.85,102.25,102.5,102.5,102.1,15000,1537000.0,12,,15000.0,100.0,new
737GS2028,GS,2026-09-09,104.21,104.21,104.21,104.21,104.21,104.22,100,10000.0,1,,100.0,100.0,new
738GS2027,GS,2026-09-09,102.35,103.0,102.35,102.64,103.0,102.35,261569,26788000.0,38,,261569.0,100.0,new
73GS2053,GS,2026-09-09,98.9,98.9,98.76,98.81,98.81,99.05,10369,1025000.0,12,,10369.0,100.0,new
741GS2036,GS,2026-09-09,105.05,105.05,104.01,104.7,104.7,105.05,5306,555000.0,18,,4172.0,78.63,new
743GS2076,GS,2026-09-09,99.23,99.9,98.98,98.98,99.0,99.4,68863,6822000.0,107,,66993.0,97.28,new
