SYMBOL,SERIES,DATE,OPEN,HIGH,LOW,CLOSE,LAST,PREV_CLOSE,VOLUME,TURNOVER,TRADES,ISIN,DELIV_QTY,DELIV_PER,SOURCE
20MICRONS,EQ,2026-09-10,219.48,220.9,210.73,211.87,211.0,218.06,115259,24691000.0,3336,,69009.0,59.87,new
21STCENMGM,EQ,2026-09-10,39.19,39.55,38.21,38.97,38.91,38.8,2643,103000.0,52,,1850.0,70.0,new
360ONE,EQ,2026-09-10,1087.0,1104.4,1076.6,1094.9,1094.9,1087.4,839166,919419000.0,49577,,519088.0,61.86,new
3BBLACKBIO,EQ,2026-09-10,1494.6,1494.6,1431.0,1443.3,1440.0,1476.1,13603,19873000.0,1993,,7063.0,51.92,new
3IINFOLTD,BE,2026-09-10,22.44,22.55,22.36,22.4,22.4,22.5,303343,6819000.0,477,,,,new
3MINDIA,EQ,2026-09-10,32750.0,33330.0,32490.0,32800.0,32835.0,33025.0,1403,46166000.0,900,,346.0,24.66,new
3PLAND,EQ,2026-09-10,32.5,32.5,31.56,32.0,32.0,32.25,1053,34000.0,88,,780.0,74.07,new
574GS2026,GS,2026-09-10,98.67,101.95,98.67,101.95,101.95,101.21,6,1000.0,2,,6.0,100.0,new
5PAISA,EQ,2026-09-10,333.75,338.95,328.3,332.5,332.0,334.3,28304,9417000.0,1765,,13151.0,46.46,new
603GS2029,GS,2026-09-10,99.0,99.0,99.0,99.0,99.0,100.1,100,10000.0,1,,100.0,100.0,new
610GS2031,GS,2026-09-10,99.99,99.99,99.99,99.99,99.99,99.99,1,0.0,1,,1.0,100.0,new
633GS2035,GS,2026-09-10,99.02,99.02,99.02,99.02,99.02,99.0,3,0.0,1,,3.0,100.0,new
636GS2031,GS,2026-09-10,99.11,99.11,99.0,99.0,99.0,99.0,89,9000.0,3,,89.0,100.0,new
63MOONS,EQ,2026-09-10,873.5,912.0,871.0,886.35,884.65,865.05,841520,755553000.0,33119,,262292.0,31.17,new
645GS2029,GS,2026-09-10,101.6,101.6,101.6,101.6,101.6,101.36,112,11000.0,2,,112.0,100.0,new
648GS2035,GS,2026-09-10,100.19,100.2,100.0,100.0,100.0,101.2,3162,317000.0,5,,3162.0,100.0,new
654GS2032,GS,2026-09-10,100.01,100.52,100.0,100.0,100.0,100.25,36181,3636999.9999999995,3,,36091.0,99.75,new
664GS2027,GS,2026-09-10,101.8,101.8,101.8,101.8,101.8,101.2,3510,357000.0,1,,3510.0,100.0,new
667GS2035,GS,2026-09-10,101.0,101.0,101.0,101.0,101.0,100.0,12,1000.0,1,,12.0,100.0,new
667GS2050,GS,2026-09-10,92.65,92.65,92.65,92.65,92.65,92.6,10,1000.0,1,,10.0,100.0,new
668GS2033,GS,2026-09-10,100.4,100.4,100.4,100.4,100.4,99.0,1000,100000.0,1,,1000.0,100.0,new
668GS2040,GS,2026-09-10,98.0,98.0,97.86,97.86,97.86,97.98,45656,4468000.0,2,,45656.0,100.0,new
676GS2061,GS,2026-09-10,90.8,90.8,90.26,90.26,90.3,90.23,16233,1466000.0,18,,16232.0,99.99,new
679GS2034,GS,2026-09-10,101.0,101.0,101.0,101.0,101.0,102.5,150,15000.0,1,,150.0,100.0,new
679GS2034A,GS,2026-09-10,97.99,100.02,97.99,100.02,100.02,99.99,200,20000.0,2,,199.0,99.5,new
690GS2065,GS,2026-09-10,93.59,93.59,93.1,93.1,93.1,93.39,2371,221000.0,7,,2371.0,100.0,new
694GS2036,GS,2026-09-10,101.56,102.98,101.56,102.28,102.28,103.08,301,31000.0,4,,300.0,99.67,new
695GS2061,GS,2026-09-10,93.8,93.8,93.8,93.8,93.8,93.89,214,20000.0,5,,214.0,100.0,new
697GR2034,GS,2026-09-10,98.0,98.0,98.0,98.0,98.0,98.0,375,37000.0,1,,375.0,100.0,new
699GS2051,GS,2026-09-10,96.0,96.0,94.31,94.5,94.5,96.3,105,10000.0,13,,56.0,53.33,new
702GS2027,GS,2026-09-10,102.01,102.01,102.01,102.01,102.01,102.15,1100,112000.00000000001,2,,1100.0,100.0,new
702GS2031,GS,2026-09-10,102.1,102.1,102.0,102.0,102.0,101.71,890,91000.0,2,,890.0,100.0,new
704GS2029,GS,2026-09-10,102.75,103.0,102.75,103.0,103.0,101.19,60,6000.0,2,,60.0,100.0,new
706GS2028,GS,2026-09-10,103.56,103.56,103.56,103.56,103.56,103.6,500,52000.0,1,,500.0,100.0,new
706GS2041,GS,2026-09-10,101.0,101.0,99.99,99.99,99.99,100.2,200,20000.0,4,,200.0,100.0,new
709GS2054,GS,2026-09-10,96.49,96.49,95.0,95.36,95.36,95.15,11463,1099000.0,18,,11340.0,98.93,new
709GS2074,GS,2026-09-10,95.3,95.3,94.75,94.77,94.75,95.3,16585,1577000.0,42,,16585.0,100.0,new
710GS2029,GS,2026-09-10,104.4,104.4,104.4,104.4,104.4,104.1,4584,479000.0,1,,4584.0,100.0,new
716GS2050,GS,2026-09-10,97.21,97.21,97.21,97.21,97.21,102.0,1,0.0,1,,1.0,100.0,new
717GS2030,GS,2026-09-10,103.5,103.5,103.46,103.46,103.46,103.55,1220,126000.0,5,,1220.0,100.0,new
718GS2033,GS,2026-09-10,103.0,103.0,102.0,103.0,103.0,101.97,131,13000.0,3,,131.0,100.0,new
718GS2037,GS,2026-09-10,103.95,103.95,101.66,102.45,102.45,101.99,19313,1976000.0000000002,37,,18113.0,93.79,new
724GS2055,GS,2026-09-10,96.73,97.0,96.0,96.61,96.69,96.74,41783,4042000.0,48,,41782.0,100.0,new
725GS2063,GS,2026-09-10,96.78,97.19,96.7,96.75,96.75,96.85,56757,5495000.0,55,,56755.0,100.0,new
726GS2032,GS,2026-09-10,103.2,103.2,102.95,102.95,102.95,102.65,21620,2227000.0,15,,21620.0,100.0,new
733GS2026,GS,2026-09-10,101.29,102.31,101.29,102.31,102.31,102.31,530,54000.0,6,,430.0,81.13,new
734GS2064,GS,2026-09-10,99.07,99.07,98.5,98.71,98.75,98.76,33790,3336999.9999999995,45,,33789.0,100.0,new
736GS2052,GS,2026-09-10,101.48,101.48,101.48,101.48,101.48,102.5,31,3000.0,2,,31.0,100.0,new
737GS2028,GS,2026-09-10,104.27,104.27,104.27,104.27,104.27,104.21,100,10000.0,1,,100.0,100.0,new
738GS2027,GS,2026-09-10,102.64,102.95,102.51,102.57,102.57,102.64,31100,3190000.0,14,,31100.0,100.0,new
73GS2053,GS,2026-09-10,98.81,99.05,98.81,99.05,99.05,98.81,31763,3144000.0,23,,31763.0,100.0,new
741GS2036,GS,2026-09-10,105.1,105.2,104.8,104.8,104.8,104.7,6938,728000.0,17,,6069.0,87.47,new
743GS2076,GS,2026-09-10,99.25,99.48,98.16,98.3,98.5,98.98,857146,84483000.0,880,,855030.0,99.75,new
746GS2073,GS,2026-09-10,102.99,102.99,101.25,101.25,101.25,101.99,22904,2319000.0,9,,22903.0,100.0,new
74GS2062,GS,2026-09-10,102.5,102.5,102.5,102.5,102.5,102.25,7,1000.0,2,,7.0,100.0,new
750GS2056,GS,2026-09-10,102.0,103.0,102.0,103.0,103.0,103.0,301,31000.0,3,,301.0,100.0,new
754GS2036,GS,2026-09-10,106.08,106.16,105.81,106.02,105.9,106.14,197464,20936000.0,125,,186729.0,94.56,new
75GS2034,GS,2026-09-10,103.96,103.96,103.96,103.96,103.96,103.93,845,88000.0,1,,845.0,100.0,new
771GS2066,GS,2026-09-10,103.75,103.75,102.85,102.94,102.85,103.35,80720,8326000.000000001,71,,78670.0,97.46,new
824GS2027,GS,2026-09-10,102.0,102.0,101.59,101.59,101.59,101.65,50004,5080000.0,3,,50004.0,100.0,new
826GS2027,GS,2026-09-10,103.0,103.0,103.0,103.0,103.0,103.0,6,1000.0,1,,6.0,100.0,new
828GS2032,GS,2026-09-10,107.6,107.6,107.6,107.6,107.6,107.97,1001,108000.0,2,,1001.0,100.0,new
897GS2030,GS,2026-09-10,109.66,109.66,109.66,109.66,109.66,112.5,50,5000.0,1,,50.0,100.0,new
92GS2030,GS,2026-09-10,115.5,115.6,114.06,114.06,114.06,116.4,24152,2790000.0,8,,24152.0,100.0,new
A2ZINFRA,EQ,2026-09-10,15.5,15.5,14.85,14.92,15.0,15.25,263345,3965999.9999999995,455,,195123.0,74.09,new
AAATECH,EQ,2026-09-10,92.97,94.5,91.02,92.77,92.21,91.86,10673,986000.0,197,,4379.0,41.03,new
AADHARHFC,EQ,2026-09-10,471.9,474.85,460.25,462.7,462.0,471.9,418935,194663000.0,16468,,284560.0,67.92,new
AAKAAR,SM,2026-09-10,63.0,63.5,63.0,63.0,63.0,63.0,8000,505000.0,3,,8000.0,100.0,new
AAKASH,EQ,2026-09-10,8.5,9.98,8.31,9.14,9.3,8.49,795578,7328000.0,1266,,431780.0,54.27,new
AARADHYA,SM,2026-09-10,140.95,140.95,140.95,140.95,140.95,134.25,67200,9472000.0,37,,64800.0,96.43,new
AAREYDRUGS,EQ,2026-09-10,101.29,101.29,94.99,95.71,94.99,99.98,98928,9611000.0,1725,,54073.0,54.66,new
AARNAV,BE,2026-09-10,31.0,31.71,30.6,31.31,31.32,31.9,5591,173000.0,63,,,,new
AARON,EQ,2026-09-10,136.0,142.0,132.1,136.95,137.2,134.5,14071,1946000.0,543,,8555.0,60.8,new
AARTECH,BE,2026-09-10,51.1,53.48,51.1,52.07,52.52,52.5,43423,2276000.0,143,,,,new
AARTIDRUGS,EQ,2026-09-10,426.25,439.4,422.35,437.0,437.0,423.45,254738,110936999.99999999,8845,,122413.0,48.05,new
AARTIIND,EQ,2026-09-10,496.2,511.95,495.45,504.05,505.25,496.2,589520,297356000.0,23664,,230069.0,39.03,new
AARTIPHARM,EQ,2026-09-10,836.0,839.0,814.0,825.75,829.05,829.65,285444,234957000.00000003,22019,,112949.0,39.57,new
AARTISURF,BE,2026-09-10,503.05,518.8,487.0,500.85,508.9,512.6,53683,26754000.000000004,905,,,,new
AARVI,EQ,2026-09-10,142.45,143.7,142.0,143.11,143.7,142.04,4118,588000.0,120,,3126.0,75.91,new
AASTHA,EQ,2026-09-10,81.41,81.41,78.8,79.29,79.04,81.46,263315,20998000.0,1509,,190798.0,72.46,new
AATMAJ,SM,2026-09-10,19.7,19.7,18.15,18.15,18.15,19.7,4000,76000.0,2,,4000.0,100.0,new
AAVAS,EQ,2026-09-10,1287.0,1302.9,1277.2,1286.1,1284.9,1290.3,69794,90064000.0,11715,,36119.0,51.75,new
ABAN,BE,2026-09-10,14.8,14.8,14.43,14.43,14.43,14.72,18397,267000.0,141,,,,new
ABANSENT,EQ,2026-09-10,27.99,29.0,27.51,27.78,27.78,27.99,12639,355000.0,124,,3579.0,28.32,new
ABB,EQ,2026-09-10,7400.0,7418.5,7287.0,7329.0,7329.0,7401.5,93304,684902000.0,16900,,47279.0,50.67,new
ABBOTINDIA,EQ,2026-09-10,25245.0,25395.0,25205.0,25260.0,25230.0,25225.0,7222,182592000.0,3476,,3716.0,51.45,new
ABCAPITAL,EQ,2026-09-10,398.0,402.05,395.85,400.0,400.0,400.0,1395209,556239000.0,23630,,669611.0,47.99,new
ABCOTS,EQ,2026-09-10,205.0,206.64,200.1,205.55,206.0,205.71,5619,1144000.0,206,,3472.0,61.79,new
ABDL,EQ,2026-09-10,603.0,613.7,598.4,611.45,612.0,604.15,300853,182980000.0,12497,,149144.0,49.57,new
ABFRL,EQ,2026-09-10,51.35,51.82,50.75,50.89,50.92,51.33,2526835,129551000.0,14209,,1235021.0,48.88,new
ABGSEC,EQ,2026-09-10,113.96,114.4,113.96,113.96,113.96,114.17,15,2000.0,6,,14.0,93.33,new
ABH,ST,2026-09-10,65.85,69.25,65.85,65.95,65.9,69.3,714000,47120000.0,232,,700800.0,98.15,new
ABHAPOWER,SM,2026-09-10,24.5,24.5,24.0,24.0,24.0,24.5,8000,193000.0,4,,8000.0,100.0,new
ABINFRA,BE,2026-09-10,11.59,11.7,11.22,11.31,11.5,11.59,596997,6730000.0,214,,,,new
ABLBL,EQ,2026-09-10,84.2,85.05,83.51,84.0,84.15,84.26,410335,34542000.0,5271,,240009.0,58.49,new
ABMINTLLTD,BE,2026-09-10,52.63,52.63,52.63,52.63,52.63,53.7,29,2000.0,3,,,,new
ABMKNO,EQ,2026-09-10,181.01,182.0,181.01,181.35,181.3,180.73,220,40000.0,9,,195.0,88.64,new
ABREL,EQ,2026-09-10,1345.9,1346.0,1323.1,1337.4,1336.0,1337.9,47082,62772000.0,5672,,19132.0,40.64,new
