SYMBOL,SERIES,DATE,OPEN,HIGH,LOW,CLOSE,LAST,PREV_CLOSE,VOLUME,TURNOVER,TRADES,ISIN,DELIV_QTY,DELIV_PER,SOURCE
20MICRONS, EQ,2026-09-24,217.7,217.8,212.16,213.87,216.0,219.21,65908,14169000.0,2566,,33449.0,50.75,new
21STCENMGM, EQ,2026-09-24,40.0,40.0,39.16,39.77,40.0,39.92,3133,125000.0,37,,1560.0,49.79,new
360ONE, EQ,2026-09-24,1099.5,1103.0,1066.9,1080.8,1080.8,1108.0,1356395,1463916000.0,42931,,723029.0,53.31,new
3BBLACKBIO, EQ,2026-09-24,1425.0,1425.0,1391.0,1406.0,1400.9,1431.6,6962,9803000.0,776,,4692.0,67.39,new
3IINFOLTD, BE,2026-09-24,26.03,26.03,24.8,24.96,24.9,25.74,270182,6783000.0,678,,,,new
3MINDIA, EQ,2026-09-24,34600.0,34790.0,34285.0,34590.0,34700.0,34615.0,1608,55614000.0,984,,615.0,38.25,new
3PLAND, EQ,2026-09-24,31.5,31.5,30.51,30.52,30.51,30.91,302,9000.0,22,,302.0,100.0,new
574GS2026, GS,2026-09-24,102.05,102.05,102.05,102.05,102.05,101.2,472,48000.0,5,,472.0,100.0,new
5PAISA, EQ,2026-09-24,318.15,318.15,305.15,308.4,309.0,318.15,26049,8092000.0,1150,,15570.0,59.77,new
610GS2031, GS,2026-09-24,99.99,99.99,99.99,99.99,99.99,99.99,1,0.0,1,,1.0,100.0,new
620GS2029, GS,2026-09-24,99.01,99.01,99.01,99.01,99.01,99.0,100,10000.0,1,,100.0,100.0,new
622GS2035, GS,2026-09-24,93.63,93.63,93.63,93.63,93.63,93.43,4,0.0,1,,4.0,100.0,new
636GS2031, GS,2026-09-24,99.5,99.5,98.0,99.2,99.2,99.0,1658,164000.0,8,,1657.0,99.94,new
63MOONS, EQ,2026-09-24,849.15,891.9,840.2,862.9,862.0,852.95,561321,489072999.99999994,25983,,183497.0,32.69,new
648GS2035, GS,2026-09-24,98.0,98.0,97.9,97.9,97.9,98.0,550,54000.0,2,,550.0,100.0,new
654GS2032, GS,2026-09-24,99.0,99.0,99.0,99.0,99.0,99.5,1,0.0,1,,1.0,100.0,new
664GS2027, GS,2026-09-24,101.6,101.6,101.6,101.6,101.6,101.5,100,10000.0,1,,100.0,100.0,new
664GS2035, GS,2026-09-24,99.2,99.2,99.2,99.2,99.2,98.0,1,0.0,1,,1.0,100.0,new
667GS2050, GS,2026-09-24,93.51,93.51,93.51,93.51,93.51,93.0,100,9000.0,1,,100.0,100.0,new
668GS2040, GS,2026-09-24,97.95,97.95,97.1,97.1,97.1,97.4,70,7000.000000000001,8,,45.0,64.29,new
