SYMBOL,SERIES,DATE,OPEN,HIGH,LOW,CLOSE,LAST,PREV_CLOSE,VOLUME,TURNOVER,TRADES,ISIN,DELIV_QTY,DELIV_PER,SOURCE
20MICRONS,EQ,2026-09-11,211.75,211.75,204.01,207.86,207.0,211.87,163867,34025000.0,4180,,65325.0,48.06,new
21STCENMGM,EQ,2026-09-11,38.97,38.97,38.25,38.39,38.25,38.97,528,20000.0,30,,103.0,91.96,new
360ONE,EQ,2026-09-11,1089.7,1098.3,1065.6,1091.0,1091.0,1094.9,835305,907611000.0,52412,,413109.0,53.91,new
3BBLACKBIO,EQ,2026-09-11,1442.0,1448.3,1389.0,1419.9,1420.0,1443.3,19596,27727000.0,2205,,9799.0,56.9,new
3IINFOLTD,BE,2026-09-11,22.37,22.97,21.78,22.85,22.9,22.4,374143,8393000.0,762,,,,new
3MINDIA,EQ,2026-09-11,32410.0,32865.0,32400.0,32710.0,32595.0,32800.0,1598,52159000.0,815,,637.0,49.65,new
3PLAND,EQ,2026-09-11,32.0,32.0,28.51,31.24,31.49,32.0,18145,561000.0,385,,13152.0,74.73,new
574GS2026,GS,2026-09-11,101.21,101.21,101.21,101.21,101.21,101.95,1,0.0,1,,1.0,100.0,new
5PAISA,EQ,2026-09-11,330.0,331.8,322.35,326.55,324.7,332.5,38072,12456000.0,2311,,17102.0,59.08,new
603GS2029,GS,2026-09-11,99.0,99.0,99.0,99.0,99.0,99.0,200,20000.0,1,,200.0,100.0,new
610GS2031,GS,2026-09-11,99.99,99.99,96.86,99.99,99.99,99.99,41,4000.0,6,,14.0,35.0,new
620GS2029,GS,2026-09-11,98.57,100.0,98.57,99.99,100.0,100.0,6810,681000.0,8,,311.0,100.0,new
636GS2031,GS,2026-09-11,99.5,99.5,99.0,99.0,99.0,99.0,515382,51023000.0,6,,515382.0,100.0,new
63MOONS,EQ,2026-09-11,880.0,945.0,861.3,908.9,905.1,886.35,1336886,1222155000.0,60136,,277747.0,22.01,new
648GS2035,GS,2026-09-11,100.0,100.0,98.06,100.0,100.0,100.0,2058,206000.0,7,,1768.0,95.16,new
662GS2051,GS,2026-09-11,91.5,91.5,91.5,91.5,91.5,92.0,10,1000.0,1,,10.0,100.0,new
667GS2050,GS,2026-09-11,90.52,93.5,90.52,93.5,93.5,92.65,2,0.0,2,,2.0,100.0,new
668GS2033,GS,2026-09-11,99.0,99.0,98.66,98.66,98.66,100.4,200,20000.0,2,,200.0,100.0,new
668GS2040,GS,2026-09-11,98.2,98.2,98.2,98.2,98.2,97.86,2000000,196400000.0,2,,2000000.0,100.0,new
676GS2061,GS,2026-09-11,90.6,90.6,88.7,89.64,89.5,90.26,55917,5001000.0,69,,47439.0,97.69,new
68GS2060,GS,2026-09-11,91.5,91.5,91.5,91.5,91.5,91.51,1800,165000.0,6,,1800.0,100.0,new
690GS2065,GS,2026-09-11,93.0,93.49,92.32,92.41,93.05,93.1,10601,984000.0,37,,8497.0,100.0,new
694GS2036,GS,2026-09-11,102.3,102.98,102.28,102.78,102.28,102.28,6350,652000.0,21,,5200.0,91.23,new
695GS2061,GS,2026-09-11,93.8,93.8,92.0,92.22,92.0,93.8,6478,598000.0,14,,46.0,97.87,new
697GR2034,GS,2026-09-11,98.0,98.0,98.0,98.0,98.0,98.0,221,22000.0,3,,221.0,100.0,new
699GS2051,GS,2026-09-11,96.0,96.0,96.0,96.0,96.0,94.5,1,0.0,1,,1.0,100.0,new
704GS2029,GS,2026-09-11,103.0,103.0,103.0,103.0,103.0,103.0,15,2000.0,1,,15.0,100.0,new
706GS2028,GS,2026-09-11,103.59,103.59,103.59,103.59,103.59,103.56,100,10000.0,1,,100.0,100.0,new
706GS2046,GS,2026-09-11,101.5,101.5,101.5,101.5,101.5,101.0,1,0.0,1,,1.0,100.0,new
709GS2054,GS,2026-09-11,95.36,95.36,94.0,95.0,95.0,95.36,7380,699000.0,26,,5375.0,79.87,new
709GS2074,GS,2026-09-11,95.27,95.27,94.61,95.13,95.24,94.77,2109,200999.99999999997,12,,249.0,96.14,new
710GS2029,GS,2026-09-11,104.4,104.8,104.4,104.8,104.8,104.4,2557700,268023999.99999997,8,,2057700.0,100.0,new
716GS2050,GS,2026-09-11,101.23,101.23,101.23,101.23,101.23,97.21,1,0.0,1,,1.0,100.0,new
717GS2030,GS,2026-09-11,103.5,104.0,103.5,104.0,104.0,103.46,4301,445000.0,4,,4301.0,100.0,new
718GS2033,GS,2026-09-11,103.0,103.0,102.9,103.0,103.0,103.0,199,20000.0,3,,199.0,100.0,new
718GS2037,GS,2026-09-11,102.01,102.37,102.0,102.0,102.0,102.45,3125,319000.0,8,,2115.0,100.0,new
719GS2060,GS,2026-09-11,99.5,99.5,94.05,96.0,96.0,99.0,300,28999.999999999996,3,,200.0,100.0,new
71GS2034,GS,2026-09-11,103.5,103.5,103.5,103.5,103.5,105.38,500,52000.0,1,,500.0,100.0,new
724GS2055,GS,2026-09-11,96.4,96.67,96.3,96.42,96.4,96.61,14765,1424000.0,24,,13765.0,100.0,new
725GS2063,GS,2026-09-11,97.2,97.2,96.41,96.8,96.82,96.75,125108,12101000.0,111,,110314.0,98.9,new
726GS2032,GS,2026-09-11,102.95,102.95,102.8,102.91,102.95,102.95,39619,4079000.0,12,,34680.0,100.0,new
