SYMBOL,SERIES,DATE,OPEN,HIGH,LOW,CLOSE,LAST,PREV_CLOSE,VOLUME,TURNOVER,TRADES,ISIN,DELIV_QTY,DELIV_PER,SOURCE
1018GS2026,GS,2026-09-04,105.0,105.0,104.7,104.96,104.96,105.0,5208,546000.0,10,,5000.0,96.01,new
20MICRONS,EQ,2026-09-04,218.91,224.9,216.5,222.49,222.95,217.82,174812,38639000.0,4145,,82174.0,47.01,new
21STCENMGM,EQ,2026-09-04,38.49,38.7,37.36,38.13,38.0,38.1,2056,78000.0,44,,1530.0,74.42,new
360ONE,EQ,2026-09-04,1149.1,1156.1,1127.1,1137.0,1137.0,1155.0,603451,688260000.0,32281,,311039.0,51.54,new
3BBLACKBIO,EQ,2026-09-04,1508.5,1513.9,1411.2,1460.1,1476.2,1486.2,19626,28418000.0,2351,,8828.0,44.98,new
3IINFOLTD,BE,2026-09-04,21.99,22.5,21.99,22.37,22.4,21.79,161133,3600000.0,591,,,,new
3MINDIA,EQ,2026-09-04,32730.0,32965.0,32680.0,32845.0,32955.0,32820.0,932,30563000.0,600,,556.0,59.66,new
3PLAND,EQ,2026-09-04,32.3,32.45,30.75,32.39,32.39,32.45,11543,365000.0,223,,7898.0,68.42,new
574GS2026,GS,2026-09-04,101.95,101.95,101.95,101.95,101.95,101.05,1,0.0,1,,1.0,100.0,new
585GS2030,GS,2026-09-04,98.5,98.5,98.5,98.5,98.5,94.09,501,49000.0,2,,501.0,100.0,new
591GS2028,GS,2026-09-04,100.05,100.7,100.0,100.69,100.0,99.78,15340,1544000.0,6,,15218.0,99.2,new
5PAISA,EQ,2026-09-04,342.45,367.9,336.35,342.1,341.8,342.45,258086,90740000.0,7643,,65965.0,25.56,new
601GS2030,GS,2026-09-04,98.5,98.5,98.5,98.5,98.5,99.0,19,2000.0,1,,19.0,100.0,new
603GS2029,GS,2026-09-04,100.47,100.47,100.47,100.47,100.47,98.5,100,10000.0,1,,100.0,100.0,new
610GS2031,GS,2026-09-04,97.0,97.0,97.0,97.0,97.0,99.99,200,19000.0,1,,200.0,100.0,new
620GS2029,GS,2026-09-04,100.2,100.2,100.2,100.2,100.2,99.75,7000,701000.0,1,,7000.0,100.0,new
633GS2035,GS,2026-09-04,99.2,99.3,99.2,99.3,99.3,99.3,199,20000.0,2,,199.0,100.0,new
63MOONS,EQ,2026-09-04,867.95,903.0,853.3,876.5,875.0,851.25,1136718,1003550000.0,41951,,478314.0,42.08,new
648GS2035,GS,2026-09-04,100.0,100.0,100.0,100.0,100.0,100.0,10,1000.0,1,,10.0,100.0,new
654GS2032,GS,2026-09-04,100.0,100.16,100.0,100.16,100.16,100.0,17692,1770000.0,10,,17692.0,100.0,new
664GS2027,GS,2026-09-04,101.2,101.2,101.2,101.2,101.2,101.4,100,10000.0,1,,100.0,100.0,new
667GS2035,GS,2026-09-04,100.2,100.2,100.2,100.2,100.2,104.0,799,80000.0,1,,799.0,100.0,new
