SYMBOL,SERIES,DATE,OPEN,HIGH,LOW,CLOSE,LAST,PREV_CLOSE,VOLUME,TURNOVER,TRADES,ISIN,DELIV_QTY,DELIV_PER,SOURCE
20MICRONS,EQ,2026-09-18,207.77,209.0,204.62,208.28,206.5,205.71,45744,9470000.0,1711,,21567.0,47.15,new
21STCENMGM,EQ,2026-09-18,38.81,39.29,38.81,38.98,38.81,38.62,135,5000.0,10,,69.0,51.11,new
360ONE,EQ,2026-09-18,1060.5,1086.1,1060.5,1073.1,1073.1,1061.3,519067,559495000.0,25530,,347735.0,66.99,new
3BBLACKBIO,EQ,2026-09-18,1313.5,1328.7,1289.8,1319.3,1327.0,1290.8,6766,8792000.0,592,,4905.0,72.49,new
3IINFOLTD,BE,2026-09-18,25.67,26.0,24.56,25.5,25.5,25.76,419639,10785000.0,863,,,,new
3MINDIA,EQ,2026-09-18,32530.0,34450.0,32380.0,34095.0,34275.0,32530.0,8040,270674000.0,3757,,4207.0,52.33,new
3PLAND,EQ,2026-09-18,31.5,31.5,30.5,31.09,31.0,31.4,721,22000.0,74,,513.0,71.15,new
574GS2026,GS,2026-09-18,101.95,101.95,101.95,101.95,101.95,101.95,1,0.0,1,,1.0,100.0,new
577GS2030,GS,2026-09-18,96.5,96.5,96.5,96.5,96.5,96.94,100,10000.0,2,,100.0,100.0,new
585GS2030,GS,2026-09-18,97.56,97.56,97.56,97.56,97.56,97.55,1000000,97560000.0,1,,1000000.0,100.0,new
5PAISA,EQ,2026-09-18,314.1,323.0,314.1,321.35,320.6,315.4,21347,6825000.0,1417,,11667.0,54.65,new
601GS2030,GS,2026-09-18,98.4,98.4,98.4,98.4,98.4,98.4,100,10000.0,2,,100.0,100.0,new
610GS2031,GS,2026-09-18,99.99,99.99,99.99,99.99,99.99,99.99,1,0.0,1,,1.0,100.0,new
620GS2029,GS,2026-09-18,99.85,99.85,99.85,99.85,99.85,99.85,1,0.0,1,,1.0,100.0,new
622GS2035,GS,2026-09-18,93.43,95.07,93.43,95.07,95.07,94.2,52,5000.0,4,,25.0,48.08,new
636GS2031,GS,2026-09-18,98.5,99.3,98.5,99.3,99.3,99.09,1602,158000.0,5,,1602.0,100.0,new
63MOONS,EQ,2026-09-18,872.65,890.15,864.45,884.75,883.0,872.65,231331,203673000.0,12047,,94610.0,40.9,new
648GS2035,GS,2026-09-18,97.71,99.5,97.71,99.0,99.0,98.3,3640,362000.0,4,,3540.0,97.25,new
653GS2031,GS,2026-09-18,97.83,99.0,97.83,99.0,99.0,100.98,302,30000.0,3,,302.0,100.0,new
657GS2033A,GS,2026-09-18,99.9,100.0,99.9,100.0,100.0,97.6,3000,300000.0,3,,3000.0,100.0,new
667GS2035,GS,2026-09-18,107.62,107.62,105.0,106.85,106.85,105.0,1000006,106851000.0,5,,1000003.0,100.0,new
668GS2040,GS,2026-09-18,97.0,97.9,94.57,97.9,97.9,96.5,1498,145000.0,15,,1100.0,73.43,new
675GS2029,GS,2026-09-18,101.75,101.75,101.75,101.75,101.75,101.2,99,10000.0,1,,99.0,100.0,new
676GS2061,GS,2026-09-18,90.0,90.0,89.09,89.15,89.15,89.49,24608,2194000.0,46,,24476.0,99.46,new
690GS2065,GS,2026-09-18,93.63,93.63,92.91,93.59,93.59,92.7,236,22000.0,5,,236.0,100.0,new
694GS2036,GS,2026-09-18,101.0,101.99,101.0,101.99,101.99,101.03,2040,208000.0,3,,2040.0,100.0,new
695GS2061,GS,2026-09-18,93.0,93.0,92.0,92.0,92.0,92.9,1627,151000.0,8,,1627.0,100.0,new
697GR2034,GS,2026-09-18,98.0,98.0,98.0,98.0,98.0,98.0,1,0.0,1,,1.0,100.0,new
699GS2051,GS,2026-09-18,96.0,96.0,95.85,95.85,95.85,95.9,13,1000.0,6,,13.0,100.0,new
702GS2027,GS,2026-09-18,102.5,102.5,102.5,102.5,102.5,102.23,1,0.0,1,,1.0,100.0,new
702GS2031,GS,2026-09-18,103.65,103.65,103.65,103.65,103.65,103.64,1000,104000.0,1,,1000.0,100.0,new
704GS2029,GS,2026-09-18,102.9,103.49,102.23,103.47,103.49,102.57,6900,712000.0,4,,6600.0,95.65,new
706GS2028,GS,2026-09-18,108.05,108.05,103.41,103.41,103.41,104.1,101,10000.0,2,,100.0,99.01,new
706GS2041,GS,2026-09-18,101.45,101.45,100.85,100.85,100.85,101.95,5,1000.0,4,,5.0,100.0,new
709GS2054,GS,2026-09-18,96.0,96.0,94.0,95.38,95.38,94.7,16267,1535000.0,13,,13081.0,80.41,new
709GS2074,GS,2026-09-18,95.0,95.4,94.5,95.4,95.4,94.53,6672,635000.0,22,,6672.0,100.0,new
716GS2050,GS,2026-09-18,102.34,102.34,98.76,99.7,98.76,101.23,5000,499000.0,6,,5000.0,100.0,new
717GS2030,GS,2026-09-18,104.8,104.8,104.3,104.8,104.8,104.79,45270,4740000.0,9,,38670.0,85.42,new
718GS2033,GS,2026-09-18,102.0,103.0,101.6,102.95,103.0,102.0,55902,5709000.0,45,,54902.0,98.21,new
718GS2037,GS,2026-09-18,102.5,103.47,102.0,102.39,102.39,102.0,29704,3042000.0,12,,29704.0,100.0,new
71GS2034,GS,2026-09-18,104.6,104.6,103.0,104.47,104.47,102.89,10103,1051000.0,7,,10003.0,99.01,new
724GS2055,GS,2026-09-18,96.97,96.97,96.6,96.6,96.6,96.55,4575,444000.00000000006,5,,4575.0,100.0,new
725GS2063,GS,2026-09-18,96.5,96.8,96.26,96.5,96.5,96.49,8866,855000.0000000001,18,,7211.0,81.33,new
726GS2032,GS,2026-09-18,103.4,103.4,103.4,103.4,103.4,101.8,100,10000.0,1,,100.0,100.0,new
726GS2033,GS,2026-09-18,101.48,102.0,101.48,102.0,102.0,102.5,1048,107000.0,4,,524.0,50.0,new
732GS2030,GS,2026-09-18,103.55,104.0,103.55,104.0,104.0,103.61,2100,218000.00000000003,3,,2100.0,100.0,new
734GS2064,GS,2026-09-18,98.9,98.9,98.4,98.84,98.87,98.48,24664,2436000.0,45,,24514.0,99.39,new
736GS2052,GS,2026-09-18,98.75,98.75,96.0,98.69,98.69,99.25,6086,599000.0,24,,6033.0,99.13,new
737GS2028,GS,2026-09-18,104.3,104.3,104.3,104.3,104.3,104.01,100,10000.0,1,,100.0,100.0,new
738GS2027,GS,2026-09-18,102.41,102.8,102.41,102.53,102.77,102.4,28707,2942000.0,14,,28707.0,100.0,new
73GS2053,GS,2026-09-18,98.0,98.6,98.0,98.55,98.5,98.0,194888,19124000.0,81,,162288.0,83.27,new
741GS2036,GS,2026-09-18,104.49,104.49,104.49,104.49,104.49,104.1,100,10000.0,1,,100.0,100.0,new
743GS2076,GS,2026-09-18,98.9,99.24,98.6,99.2,99.2,98.45,23389,2319000.0,31,,22828.0,97.6,new
746GS2073,GS,2026-09-18,102.5,102.5,101.34,101.34,101.34,101.99,3,0.0,3,,2.0,66.67,new
74GS2035,GS,2026-09-18,101.01,102.5,101.0,102.5,102.5,103.4,1300,132000.0,4,,650.0,50.0,new
74GS2062,GS,2026-09-18,99.0,101.5,98.0,98.21,98.4,101.99,2823,279000.0,11,,2823.0,100.0,new
750GS2056,GS,2026-09-18,102.5,102.95,102.5,102.95,102.95,102.95,101,10000.0,2,,101.0,100.0,new
754GS2036,GS,2026-09-18,105.01,105.61,105.01,105.53,105.55,105.3,305760,32242000.0,121,,292217.0,95.57,new
762GS2039,GS,2026-09-18,101.9,102.0,101.9,102.0,102.0,107.25,100,10000.0,2,,50.0,50.0,new
763GS2056,GS,2026-09-18,99.15,100.5,99.15,100.4,100.4,100.15,3109,312000.0,11,,3089.0,99.36,new
771GS2066,GS,2026-09-18,103.0,103.5,102.5,103.49,103.49,103.5,15969,1652000.0,20,,15869.0,99.37,new
772GS2055,GS,2026-09-18,102.31,103.5,102.31,103.5,103.5,102.5,822,85000.0,2,,411.0,50.0,new
795GS2032,GS,2026-09-18,107.8,107.8,107.8,107.8,107.8,105.45,2,0.0,2,,2.0,100.0,new
824GS2027,GS,2026-09-18,102.0,102.0,101.6,101.7,101.7,101.7,3658,372000.0,4,,3658.0,100.0,new
824GS2033,GS,2026-09-18,110.35,110.35,110.35,110.35,110.35,111.35,1,0.0,1,,1.0,100.0,new
83GS2040,GS,2026-09-18,109.5,110.25,108.93,109.75,109.75,110.84,1490,163000.0,8,,790.0,53.02,new
883GS2041,GS,2026-09-18,111.2,111.2,111.2,111.2,111.2,115.25,111,12000.0,1,,111.0,100.0,new
897GS2030,GS,2026-09-18,113.0,113.0,113.0,113.0,113.0,111.6,1,0.0,1,,1.0,100.0,new
92GS2030,GS,2026-09-18,113.99,114.5,113.21,114.25,114.25,114.0,14818,1693000.0,21,,14818.0,100.0,new
A2ZINFRA,EQ,2026-09-18,15.31,15.31,14.87,14.89,14.87,15.01,43624,652000.0,189,,35698.0,81.83,new
AAATECH,EQ,2026-09-18,88.0,88.0,84.05,86.95,87.88,84.57,107337,9276000.0,499,,18640.0,17.37,new
AADHARHFC,EQ,2026-09-18,467.0,470.7,453.7,461.65,460.8,469.35,2175228,1004929000.0000001,35941,,1575505.0,72.43,new
AAKAAR,SM,2026-09-18,63.0,66.15,61.05,64.5,65.0,63.0,28800,1793000.0,8,,25600.0,88.89,new
AAKASH,EQ,2026-09-18,8.92,9.18,8.8,8.88,8.85,8.92,78109,702000.0,284,,46595.0,59.65,new
AARADHYA,ST,2026-09-18,139.0,146.95,139.0,141.0,141.0,140.3,21600,3093000.0,18,,21600.0,100.0,new
AAREYDRUGS,EQ,2026-09-18,103.0,103.5,98.81,102.13,101.0,101.72,289834,29543000.0,1903,,193906.0,66.9,new
AARNAV,BE,2026-09-18,30.5,31.9,30.5,31.2,31.2,31.4,3120,97000.0,39,,,,new
AARON,EQ,2026-09-18,124.42,126.99,115.0,119.92,119.78,124.42,38147,4548000.0,986,,25670.0,67.29,new
AARTECH,BE,2026-09-18,51.45,51.82,49.77,51.33,51.7,51.4,17042,868000.0,89,,,,new
AARTIDRUGS,EQ,2026-09-18,428.35,435.2,426.0,431.8,432.7,428.35,88332,38104000.0,3735,,49145.0,55.64,new
AARTIIND,EQ,2026-09-18,476.65,493.45,476.25,491.15,485.1,476.6,541708,264375000.0,16336,,259120.0,47.83,new
AARTIPHARM,EQ,2026-09-18,827.0,845.7,812.4,820.4,822.05,826.95,1901494,1563253000.0,22382,,1201820.0,63.2,new
AARTISURF,BE,2026-09-18,530.0,545.0,530.0,535.95,538.0,525.45,9675,5227000.0,297,,,,new
AARVI,EQ,2026-09-18,141.9,141.9,138.12,139.95,139.99,140.82,3984,556000.0,115,,2681.0,67.29,new
AASTHA,EQ,2026-09-18,77.99,77.99,74.24,76.25,76.2,76.78,240248,18218000.0,2115,,120330.0,50.09,new
AAVAS,EQ,2026-09-18,1296.0,1304.9,1273.8,1284.6,1300.0,1291.8,164549,212169000.0,12930,,103909.0,63.15,new
ABAN,BE,2026-09-18,14.32,14.6,14.04,14.54,14.5,14.32,11942,172000.0,90,,,,new
ABANSENT,EQ,2026-09-18,26.61,27.46,26.0,26.07,26.07,26.61,7320,194000.0,127,,6442.0,88.01,new
ABB,EQ,2026-09-18,7185.5,7307.0,7151.0,7270.5,7270.5,7130.5,383030,2767162000.0,31908,,220700.0,57.62,new
ABBOTINDIA,EQ,2026-09-18,26035.0,27490.0,26035.0,27270.0,27200.0,25910.0,38339,1038121999.9999999,14454,,25627.0,66.84,new
ABCAPITAL,EQ,2026-09-18,390.5,410.05,390.5,410.05,410.05,390.0,4888619,1971199000.0000002,37728,,3053891.0,62.47,new
ABCOTS,EQ,2026-09-18,221.0,222.01,206.05,209.85,209.0,210.83,219982,47394000.0,613,,135491.0,61.59,new
ABDL,EQ,2026-09-18,649.9,659.55,641.0,647.6,650.0,653.1,437696,284631000.0,20826,,208212.0,47.57,new
ABFRL,EQ,2026-09-18,50.6,50.77,49.8,50.16,50.13,50.45,3238057,162697000.0,16162,,1462637.0,45.17,new
ABGSEC,EQ,2026-09-18,114.2,114.2,113.19,114.2,114.2,113.07,8,1000.0,5,,6.0,75.0,new
ABH,SM,2026-09-18,39.0,43.75,39.0,43.75,43.75,39.8,123600,5220000.0,94,,100800.0,81.55,new
ABHAPOWER,SM,2026-09-18,23.0,24.65,23.0,24.65,24.65,23.7,6400,152000.0,4,,4800.0,75.0,new
ABINFRA,BE,2026-09-18,11.08,11.57,11.0,11.57,11.57,11.02,395493,4534000.0,238,,,,new
ABLBL,EQ,2026-09-18,82.75,82.75,80.81,81.17,81.25,82.41,1106286,90107000.0,10515,,631090.0,57.05,new
ABMINTLLTD,BE,2026-09-18,49.98,49.98,49.98,49.98,49.98,51.0,28,1000.0,2,,,,new
ABMKNO,EQ,2026-09-18,178.0,187.9,170.05,170.5,170.05,174.37,1382,237000.0,75,,1147.0,83.0,new
ABREL,EQ,2026-09-18,1264.0,1279.0,1249.2,1266.2,1276.0,1257.4,171318,216767000.0,16151,,84736.0,49.46,new
ABSL10BANK,EQ,2026-09-18,165.5,166.3,165.0,166.04,166.3,164.39,281,47000.0,9,,262.0,93.24,new
ABSLAMC,EQ,2026-09-18,1083.0,1107.9,1053.4,1060.4,1065.0,1090.1,378189,409841000.0,30534,,236505.0,62.54,new
ABSLBANETF,EQ,2026-09-18,57.65,57.92,57.53,57.72,57.91,57.61,10671,616000.0,148,,4210.0,39.45,new
ABSLLIQUID,EQ,2026-09-18,995.0,1004.94,995.0,1000.0,1000.01,1000.0,8812,8812000.0,56,,8554.0,97.07,new
ABSLMSCIN,EQ,2026-09-18,28.82,28.93,28.68,28.69,28.93,28.72,608,17000.0,11,,513.0,84.38,new
ABSLNN50ET,EQ,2026-09-18,74.81,75.99,73.87,75.87,75.99,74.81,7289,550000.0,187,,5341.0,73.27,new
ABSLPSE,EQ,2026-09-18,10.1,10.1,9.97,10.05,10.08,9.93,46993,471000.0,250,,28297.0,60.22,new
ABSMARINE,SM,2026-09-18,304.6,304.6,275.1,286.2,288.0,304.6,90500,26285000.000000004,160,,67000.0,74.03,new
ACC,EQ,2026-09-18,1236.6,1279.9,1236.6,1259.7,1272.0,1232.5,386560,485296000.0,18583,,246221.0,63.7,new
ACCELYA,EQ,2026-09-18,1131.8,1132.0,1117.0,1123.0,1125.0,1122.0,3559,3993000.0,422,,2619.0,73.59,new
ACCENTMIC,SM,2026-09-18,682.45,698.9,676.55,681.75,677.6,679.05,23000,15693000.0,45,,16500.0,71.74,new
