SYMBOL,SERIES,DATE,OPEN,HIGH,LOW,CLOSE,LAST,PREV_CLOSE,VOLUME,TURNOVER,TRADES,ISIN,DELIV_QTY,DELIV_PER,SOURCE
1018GS2026,GS,2026-09-01,104.6,104.6,104.6,104.6,104.6,104.5,650,68000.0,1,,650.0,100.0,new
20MICRONS,EQ,2026-09-01,216.5,219.58,211.37,213.0,214.31,218.03,137611,29542000.0,3600,,70231.0,51.04,new
21STCENMGM,EQ,2026-09-01,40.3,40.3,39.54,39.6,39.58,40.34,4172,165000.0,48,,4066.0,97.46,new
360ONE,EQ,2026-09-01,1175.0,1184.3,1147.5,1165.6,1165.6,1175.0,2175285,2521068000.0,28043,,403321.0,18.54,new
3BBLACKBIO,EQ,2026-09-01,1455.0,1546.8,1451.1,1523.5,1525.0,1447.8,40078,60877000.0,3927,,16509.0,41.19,new
3IINFOLTD,BE,2026-09-01,22.68,23.5,22.45,22.67,22.79,23.02,138454,3182000.0,585,,,,new
3MINDIA,EQ,2026-09-01,33470.0,33695.0,32980.0,33315.0,33200.0,33320.0,2999,99828000.0,2010,,1328.0,44.28,new
3PLAND,EQ,2026-09-01,31.9,31.9,31.3,31.8,31.8,31.49,829,26000.0,20,,792.0,95.54,new
591GS2028,GS,2026-09-01,99.7,99.7,99.7,99.7,99.7,99.5,6000,598000.0,1,,6000.0,100.0,new
5PAISA,EQ,2026-09-01,353.0,362.55,341.1,344.85,341.75,356.6,86636,30443000.0,3050,,52681.0,60.81,new
601GS2030,GS,2026-09-01,99.0,99.0,99.0,99.0,99.0,98.2,1985,197000.0,3,,1985.0,100.0,new
610GS2031,GS,2026-09-01,99.99,99.99,99.99,99.99,99.99,99.99,1,0.0,1,,1.0,100.0,new
620GS2029,GS,2026-09-01,99.84,99.85,99.5,99.8,99.8,99.75,7867,785000.0,7,,7867.0,100.0,new
633GS2035,GS,2026-09-01,96.71,101.0,96.71,101.0,101.0,101.0,21,2000.0,5,,11.0,52.38,new
636GS2031,GS,2026-09-01,100.5,100.5,100.0,100.0,100.0,99.75,200,20000.0,3,,200.0,100.0,new
63MOONS,EQ,2026-09-01,778.05,784.0,768.55,775.55,777.0,778.85,121930,94646000.0,5237,,66773.0,54.76,new
645GS2029,GS,2026-09-01,102.0,102.0,101.6,101.6,101.6,101.65,2,0.0,2,,2.0,100.0,new
648GS2035,GS,2026-09-01,100.0,100.0,99.0,99.1,99.1,100.0,4400,440000.00000000006,4,,4400.0,100.0,new
654GS2032,GS,2026-09-01,100.0,100.0,100.0,100.0,100.0,99.99,10000,1000000.0,2,,10000.0,100.0,new
662GS2051,GS,2026-09-01,92.0,92.0,92.0,92.0,92.0,93.0,20,2000.0,1,,20.0,100.0,new
664GS2027,GS,2026-09-01,101.4,101.4,101.4,101.4,101.4,101.6,290,28999.999999999996,2,,290.0,100.0,new
667GS2035,GS,2026-09-01,100.2,100.2,100.2,100.2,100.2,100.7,16973,1701000.0000000002,2,,16973.0,100.0,new
667GS2050,GS,2026-09-01,92.7,92.7,92.25,92.25,92.25,92.55,36,3000.0,7,,36.0,100.0,new
668GS2040,GS,2026-09-01,98.0,98.0,97.3,97.89,97.9,98.0,84722,8297000.0,10,,84722.0,100.0,new
676GS2061,GS,2026-09-01,91.3,91.3,90.31,90.74,90.74,90.6,89018,8061000.0,59,,88980.0,99.96,new
679GS2034,GS,2026-09-01,100.41,100.41,100.41,100.41,100.41,101.5,300,30000.0,1,,300.0,100.0,new
68GS2060,GS,2026-09-01,91.7,91.7,90.5,91.45,91.45,91.2,30,3000.0,5,,20.0,66.67,new
690GS2065,GS,2026-09-01,94.0,94.0,93.6,93.7,93.7,93.69,60689,5687000.0,24,,60689.0,100.0,new
694GS2036,GS,2026-09-01,102.51,102.7,102.51,102.65,102.65,102.51,4172,428000.0,10,,4172.0,100.0,new
695GS2061,GS,2026-09-01,93.4,93.99,93.4,93.4,93.4,93.5,3142,293000.0,10,,3140.0,99.94,new
699GS2051,GS,2026-09-01,97.75,97.75,97.68,97.68,97.68,94.6,12,1000.0,4,,7.0,58.33,new
702GS2027,GS,2026-09-01,102.4,102.4,102.4,102.4,102.4,101.91,2200,225000.0,1,,2200.0,100.0,new
704GS2029,GS,2026-09-01,103.0,103.0,103.0,103.0,103.0,102.25,300,31000.0,1,,300.0,100.0,new
706GS2028,GS,2026-09-01,103.88,104.34,103.88,104.34,104.34,103.85,400,42000.0,2,,400.0,100.0,new
