date,tickers
2017-07-31,"360ONE,ABREL,ALOKINDS,AMBER,ANGELONE,ANURAS,ARE&M,ATUL,BAJAJELEC,BRIGADE,BSOFT,CAMS,CANFINHOME,CDSL,CENTRALBK,CESC,CHAMBLFERT,CHEMPLASTS,CIEINDIA,CYIENT,DBL,DEVYANI,FINCABLES,FSL,GLENMARK,GRANULES,HEG,HFCL,HINDCOPPER,IBULHSGFIN,IDFC,INDIAMART,INDIGOPNTS,INTELLECT,IOB,JBCHEPHARM,JBMA,KALYANKJIL,KEI,KPIL,LAURUSLABS,MCX,METROBRAND,MGL,NBCC,PEL,PNBHOUSING,POONAWALLA,PPLPHARMA,PVRINOX,RAMCOCEM,RBLBANK,ROUTE,SONATSOFTW,STLTECH,TEJASNET,UTIAMC,WELSPUNLIV,ZEEL,ZENSARTECH"
2017-08-31,"360ONE,ABREL,ALOKINDS,AMBER,ANGELONE,ANURAS,ARE&M,ATUL,BAJAJELEC,BRIGADE,BSOFT,CAMS,CANFINHOME,CDSL,CENTRALBK,CESC,CHAMBLFERT,CHEMPLASTS,CIEINDIA,CYIENT,DBL,DEVYANI,FINCABLES,FSL,GLENMARK,GRANULES,HEG,HFCL,HINDCOPPER,IBULHSGFIN,IDFC,INDIAMART,INDIGOPNTS,INTELLECT,IOB,JBCHEPHARM,JBMA,KALYANKJIL,KEI,KPIL,LAURUSLABS,MCX,METROBRAND,MGL,NBCC,PEL,PNBHOUSING,POONAWALLA,PPLPHARMA,PVRINOX,RAMCOCEM,RBLBANK,ROUTE,SONATSOFTW,STLTECH,TEJASNET,UTIAMC,WELSPUNLIV,ZEEL,ZENSARTECH"
2017-09-30,"360ONE,ABREL,ALOKINDS,AMBER,ANGELONE,ANURAS,ARE&M,ATUL,BAJAJELEC,BRIGADE,BSOFT,CAMS,CANFINHOME,CDSL,CENTRALBK,CESC,CHAMBLFERT,CHEMPLASTS,CIEINDIA,CYIENT,DBL,DEVYANI,FINCABLES,FSL,GLENMARK,GRANULES,HEG,HFCL,HINDCOPPER,IBULHSGFIN,IDFC,INDIAMART,INDIGOPNTS,INTELLECT,IOB,JBCHEPHARM,JBMA,KALYANKJIL,KEI,KPIL,LAURUSLABS,MCX,METROBRAND,MGL,NBCC,PEL,PNBHOUSING,POONAWALLA,PPLPHARMA,PVRINOX,RAMCOCEM,RBLBANK,ROUTE,SONATSOFTW,STLTECH,TEJASNET,UTIAMC,WELSPUNLIV,ZEEL,ZENSARTECH"
2017-10-31,"360ONE,ABREL,ALOKINDS,AMBER,ANGELONE,ANURAS,ARE&M,ATUL,BAJAJELEC,BRIGADE,BSOFT,CAMS,CANFINHOME,CDSL,CENTRALBK,CESC,CHAMBLFERT,CHEMPLASTS,CIEINDIA,CYIENT,DBL,DEVYANI,FINCABLES,FSL,GLENMARK,GRANULES,HEG,HFCL,HINDCOPPER,IBULHSGFIN,IDFC,INDIAMART,INDIGOPNTS,INTELLECT,IOB,JBCHEPHARM,JBMA,KALYANKJIL,KEI,KPIL,LAURUSLABS,MCX,METROBRAND,MGL,NBCC,PEL,PNBHOUSING,POONAWALLA,PPLPHARMA,PVRINOX,RAMCOCEM,RBLBANK,ROUTE,SONATSOFTW,STLTECH,TEJASNET,UTIAMC,WELSPUNLIV,ZEEL,ZENSARTECH"
2017-11-30,"360ONE,ABREL,ALOKINDS,AMBER,ANGELONE,ANURAS,ARE&M,ATUL,BAJAJELEC,BRIGADE,BSOFT,CAMS,CANFINHOME,CDSL,CENTRALBK,CESC,CHAMBLFERT,CHEMPLASTS,CIEINDIA,CYIENT,DBL,DEVYANI,FINCABLES,FSL,GLENMARK,GRANULES,HEG,HFCL,HINDCOPPER,IBULHSGFIN,IDFC,INDIAMART,INDIGOPNTS,INTELLECT,IOB,JBCHEPHARM,JBMA,KALYANKJIL,KEI,KPIL,LAURUSLABS,MCX,METROBRAND,MGL,NBCC,PEL,PNBHOUSING,POONAWALLA,PPLPHARMA,PVRINOX,RAMCOCEM,RBLBANK,ROUTE,SONATSOFTW,STLTECH,TEJASNET,UTIAMC,WELSPUNLIV,ZEEL,ZENSARTECH"
2017-12-31,"360ONE,ABREL,ALOKINDS,AMBER,ANGELONE,ANURAS,ARE&M,ATUL,BAJAJELEC,BRIGADE,BSOFT,CAMS,CANFINHOME,CDSL,CENTRALBK,CESC,CHAMBLFERT,CHEMPLASTS,CIEINDIA,CYIENT,DBL,DEVYANI,FINCABLES,FSL,GLENMARK,GRANULES,HEG,HFCL,HINDCOPPER,IBULHSGFIN,IDFC,INDIAMART,INDIGOPNTS,INTELLECT,IOB,JBCHEPHARM,JBMA,KALYANKJIL,KEI,KPIL,LAURUSLABS,MCX,METROBRAND,MGL,NBCC,PEL,PNBHOUSING,POONAWALLA,PPLPHARMA,PVRINOX,RAMCOCEM,RBLBANK,ROUTE,SONATSOFTW,STLTECH,TEJASNET,UTIAMC,WELSPUNLIV,ZEEL,ZENSARTECH"
2018-01-31,"360ONE,ABREL,ALOKINDS,AMBER,ANGELONE,ANURAS,ARE&M,ATUL,BAJAJELEC,BRIGADE,BSOFT,CAMS,CANFINHOME,CDSL,CENTRALBK,CESC,CHAMBLFERT,CHEMPLASTS,CIEINDIA,CYIENT,DBL,DEVYANI,FINCABLES,FSL,GLENMARK,GRANULES,HEG,HFCL,HINDCOPPER,IBULHSGFIN,IDFC,INDIAMART,INDIGOPNTS,INTELLECT,IOB,JBCHEPHARM,JBMA,KALYANKJIL,KEI,KPIL,LAURUSLABS,MCX,METROBRAND,MGL,NBCC,PEL,PNBHOUSING,POONAWALLA,PPLPHARMA,PVRINOX,RAMCOCEM,RBLBANK,ROUTE,SONATSOFTW,STLTECH,TEJASNET,UTIAMC,WELSPUNLIV,ZEEL,ZENSARTECH"
2018-02-28,"360ONE,ABREL,ALOKINDS,AMBER,ANGELONE,ANURAS,ARE&M,ATUL,BAJAJELEC,BRIGADE,BSOFT,CAMS,CANFINHOME,CDSL,CENTRALBK,CESC,CHAMBLFERT,CHEMPLASTS,CIEINDIA,CYIENT,DBL,DEVYANI,FINCABLES,FSL,GLENMARK,GRANULES,HEG,HFCL,HINDCOPPER,IBULHSGFIN,IDFC,INDIAMART,INDIGOPNTS,INTELLECT,IOB,JBCHEPHARM,JBMA,KALYANKJIL,KEI,KPIL,LAURUSLABS,MCX,METROBRAND,MGL,NBCC,PEL,PNBHOUSING,POONAWALLA,PPLPHARMA,PVRINOX,RAMCOCEM,RBLBANK,ROUTE,SONATSOFTW,STLTECH,TEJASNET,UTIAMC,WELSPUNLIV,ZEEL,ZENSARTECH"
2018-03-31,"360ONE,ABREL,ALOKINDS,AMBER,ANGELONE,ANURAS,ARE&M,ATUL,BAJAJELEC,BRIGADE,BSOFT,CAMS,CANFINHOME,CDSL,CENTRALBK,CESC,CHAMBLFERT,CHEMPLASTS,CIEINDIA,CYIENT,DBL,DEVYANI,FINCABLES,FSL,GLENMARK,GRANULES,HEG,HFCL,HINDCOPPER,IBULHSGFIN,IDFC,INDIAMART,INDIGOPNTS,INTELLECT,IOB,JBCHEPHARM,JBMA,KALYANKJIL,KEI,KPIL,LAURUSLABS,MCX,METROBRAND,MGL,NBCC,PEL,PNBHOUSING,POONAWALLA,PPLPHARMA,PVRINOX,RAMCOCEM,RBLBANK,ROUTE,SONATSOFTW,STLTECH,TEJASNET,UTIAMC,WELSPUNLIV,ZEEL,ZENSARTECH"
2018-04-30,"360ONE,ABREL,ALOKINDS,AMBER,ANGELONE,ANURAS,ARE&M,ATUL,BAJAJELEC,BRIGADE,BSOFT,CAMS,CANFINHOME,CDSL,CENTRALBK,CESC,CHAMBLFERT,CHEMPLASTS,CIEINDIA,CYIENT,DBL,DEVYANI,FINCABLES,FSL,GLENMARK,GRANULES,HEG,HFCL,HINDCOPPER,IBULHSGFIN,IDFC,INDIAMART,INDIGOPNTS,INTELLECT,IOB,JBCHEPHARM,JBMA,KALYANKJIL,KEI,KPIL,LAURUSLABS,MCX,METROBRAND,MGL,NBCC,PEL,PNBHOUSING,POONAWALLA,PPLPHARMA,PVRINOX,RAMCOCEM,RBLBANK,ROUTE,SONATSOFTW,STLTECH,TEJASNET,UTIAMC,WELSPUNLIV,ZEEL,ZENSARTECH"
